word,answer
confused-depressed-feelingbad-regret,confused depressed feeling bad regret
depressed-ketawa-depressed-ketawa,depressed ketawa
depresikebayang-depresikebayang,depresi kebayang
anxious-linglung-bengong-nugas,anxious linglung bengong nugas
kinda-depressed-but-not-really,kinda depressed but not really
ngebullyngatai-ngebullyngatai,membully menghina
ceritasharing-ceritasharing,cerita sharing
diaturdisuruh-diaturdisuruh,diatur
garnieradfoamserumxmilklove,<noise>
iklan-layanan-masyarakat-as,iklan layanan masyarakat
high-functioning-depressed,high-functioning depressed
berhari2berbulan2bertahun,berhari-hari berbulan-bulan bertahun-tahun
permasalahan-permasalahan,permasalahan
bismillahirrahmanirrahim,bismillahirrahmanirrahim
stres-depressed-hopeless,stres depressed hopeless 
dibandingin-dibandingin,dibandngkan
kemungkinan-kemungkinan,kemungkinan
pejuanganxietyindonesia,pejuangan anxiety indonesia 
stupid-insane-depressed,stupid insane depressed
astaghfirullahaladzim,astaghfirullah
berkembang-berkembang,berkembang
bigmouthep-bigmouthep,<noise>
bngtseakan-bngtseakan,banget seakan-akan
boundaries-boundaries,boundaries
evaluation-evaluation,evaluation
kesesatanampkegelapan,kesesatan kegelapan
manyanjung-manyanjung,menyanjung-nyanjung
pengalaman-pengalaman,pengalaman
pertanyaan-pertanyaan,pertanyaan
sahabatorg-sahabatorg,sahabat orang-orang
skripsi-sidang-wisuda,skripsi sidang wisuda
stopjokowitigaperiode,stop jokowi tiga periode
terpingkal-terpingkal,terpingkal
tiktok-1paragraf-beli,tiktok beli
verbalkata-verbalkata,verbal kata
beta-mercaptoethanol,beta-mercaptoethanol
dibanding-bandingkan,dibanding-bandingkan
ngebanding-bandingin,dibanding-bandingkan
post-alchemy-of-soul,post-alchemy-of-soul
psycho-anxiety-trust,psycho anxiety trust
algortima-algortima,algoritma
bercabang-bercabang,bercabang-cabang
berminggu-berminggu,berminggu-minggu
berpindah-berpindah,berpindah-pindah
bersumpah-bersumpah,bersumpah
dibanding-dibanding,dibanding-bandingkan
dioverprotective-in,terlalu dilindungi
kebaikan-kebaikanmu,kebaikanmu
kebersihankerapihan,kebersihan kerapihan
kebiasaan-kebiasaan,kebiasaan
keinginan-keinginan,keinginan
kesulitan-kesulitan,kesulitan
ketakutan-ketakutan,ketakutan
nongkrong-nongkrong,nongkrong
over-identification,identifikasi berlebihan
pakcepakcepakjedeyr,<noise>
pakenceng-pakenceng,kencang-kencang
perempuan-perempuan,perempuan
sekenceng-sekenceng,sekencang-kencang
selingkuh-selingkuh,selingkuh
skrzrahcurhatsesion,<noise>
terbayang-terbayang,terbayang
terngiang-terngiang,terngiang
transaksi-transaksi,transaksi
anxious-anxiousnya,anxious
cemburu-cemburunya,cemburunya
dibanding-bandingi,dibanding
kerja-pulang-tidur,kerja pulang tidur
ketapang-gilimanuk,ketapang gilimanuk
ketidakberuntungan,ketidakberuntungan
menjadi-jadiketika,menjadi
seterang-terangnya,seterang-terangnya
setinggi-tingginya,setinggi-tingginya
bayangin-bayangin,bayangin
berbulan-berbulan,berbulan-bulan
berbunga-berbunga,berbunga-bunga
berdebar-berdebar,berdebar-debar
berganti-berganti,berganti-ganti
berhenti-berhenti,berhenti-henti
berkapel-berkapel,berkapel-berkapel
